Name,Type,Capacity,Speed,URL
USB Flash Drive ADATA UV220 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV220_32GB-3679679.html
USB Flash Drive OltraMax 70 16GB,USB 2.0,16 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_70_16GB-3679759.html
USB Flash Drive OltraMax 70 64GB,USB 2.0,64 Гб,20 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_70_64GB-3679761.html
USB Flash Drive SanDisk Ultra Fit USB 3.1 32GB,USB 3.1,32 Гб,130 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Fit_USB_31_32GB-3679783.html
USB Flash Drive SanDisk Ultra Fit USB 3.1 256GB,USB 3.1,256 Гб,130 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Fit_USB_31_256GB-3679791.html
USB Flash Drive Apacer AH25B 32GB,USB 3.1,32 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH25B_32GB-3680379.html
USB Flash Drive Apacer AH25B 128GB,USB 3.1,128 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH25B_128GB-3680383.html
USB Flash Drive Apacer AH25B 64GB,USB 3.1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH25B_64GB-3680385.html
USB Flash Drive SmartBuy Wild Series Tank 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Wild_Series_Tank_32GB-3680419.html
USB Flash Drive SmartBuy Jet 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Jet_32GB-3680423.html
USB Flash Drive SmartBuy Stream USB 3.0 32GB,USB 3.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Stream_USB_30_32GB-3680723.html
USB Flash Drive SmartBuy Stream USB 3.0 64GB,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Stream_USB_30_64GB-3680729.html
USB Flash Drive SanDisk Ultra Dual Type-C 128GB (SDDDC2-128G-G46),USB 3.2 Gen 1/Type-C,128 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Type_C_128GB_SDDDC2_128G_G46-3736329.html
USB Flash Drive Lexar JumpDrive V40 64GB,USB 2.0,,,https://komp.1k.by/storage-usbflashdrives/lexar/Lexar_JumpDrive_V40_64GB-4113131.html
USB Flash Drive Netac U182 32GB,USB 3.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_32GB-4256859.html
USB Flash Drive Netac U182 256GB,USB 3.0,256 Гб,,https://komp.1k.by/storage-usbflashdrives/netac/Netac_U182_256GB-4257347.html
USB Flash Drive Transcend JetFlash 790 256Gb,USB 3.0,256 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_790_256Gb-4257505.html
USB Flash Drive SanDisk Ultra Luxe 128GB,USB 3.1,128 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Luxe_128GB-4262065.html
USB Flash Drive SanDisk Ultra Luxe 32GB,USB 3.1,32 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Luxe_32GB-4262067.html
